split,name,category,gt_voxels
train,train_7165_a_2.nii.gz,2d,1117.0
train,train_7009_a_2.nii.gz,2d,359.0
train,train_6799_b_1.nii.gz,2d,21939.0
train,train_6159_a_1.nii.gz,2d,3830.0
train,train_5296_b_2.nii.gz,2d,452.0
train,train_7543_a_2.nii.gz,2d,701.0
train,train_5963_a_2.nii.gz,2d,249.0
train,train_6372_a_1.nii.gz,2d,1159.0
train,train_6745_a_2.nii.gz,2d,944.0
train,train_5757_a_2.nii.gz,2d,115.0
train,train_5925_a_2.nii.gz,2d,358.0
train,train_7250_b_2.nii.gz,2d,23650.0
train,train_5432_a_1.nii.gz,2d,278.0
train,train_7049_a_2.nii.gz,2d,654.0
train,train_7250_i_2.nii.gz,2d,9337.0
train,train_6187_a_1.nii.gz,2d,225.0
train,train_6680_a_1.nii.gz,2d,8029.0
train,train_7641_b_2.nii.gz,2d,147708.0
train,train_5575_b_1.nii.gz,2d,1235.0
train,train_6670_a_1.nii.gz,2d,206.0
train,train_7062_a_2.nii.gz,2d,10059.0
train,train_6777_a_1.nii.gz,2d,211461.0
train,train_5999_a_2.nii.gz,2d,2850.0
train,train_7904_a_1.nii.gz,2d,172.0
train,train_7750_a_1.nii.gz,2d,19341.0
train,train_5551_a_2.nii.gz,2d,1324.0
train,train_6384_a_1.nii.gz,2d,363.0
train,train_5649_a_1.nii.gz,2d,193.0
train,train_6132_a_1.nii.gz,2d,4950.0
train,train_6750_a_2.nii.gz,2d,12902.0
train,train_5482_a_2.nii.gz,2d,385.0
train,train_5754_a_1.nii.gz,2d,439.0
train,train_6993_a_2.nii.gz,2d,6659.0
train,train_7740_a_2.nii.gz,2d,567.0
train,train_7473_a_1.nii.gz,2d,907.0
train,train_5296_a_2.nii.gz,2d,1496.0
train,train_7204_a_2.nii.gz,2d,2793.0
train,train_7967_a_1.nii.gz,2d,2259.0
train,train_7979_a_1.nii.gz,2d,10410.0
train,train_6538_a_1.nii.gz,2d,172.0
train,train_5907_a_2.nii.gz,2d,239.0
train,train_5885_a_1.nii.gz,2d,4008.0
train,train_6784_b_1.nii.gz,2d,3441.0
train,train_7014_a_2.nii.gz,2d,3196.0
train,train_8118_b_1.nii.gz,2d,601.0
train,train_6334_a_2.nii.gz,2d,5438.0
train,train_6031_a_1.nii.gz,2d,12158.0
train,train_5343_a_2.nii.gz,2d,8045.0
train,train_6335_b_1.nii.gz,2d,2757.0
train,train_6666_a_1.nii.gz,2d,34.0
train,train_7920_a_2.nii.gz,2d,132.0
train,train_6144_a_2.nii.gz,2d,9264.0
train,train_5479_a_2.nii.gz,2d,313085.0
train,train_5720_a_2.nii.gz,2d,3042.0
train,train_7081_a_1.nii.gz,2d,302334.0
train,train_7297_a_2.nii.gz,2d,170.0
train,train_7139_a_1.nii.gz,2d,8047.0
train,train_10588_a_2.nii.gz,2d,2793.0
train,train_10198_a_2.nii.gz,2d,12740.0
train,train_10083_a_2.nii.gz,2d,169.0
train,train_12551_a_1.nii.gz,2d,259.0
train,train_10320_a_2.nii.gz,2d,828.0
train,train_12075_a_2.nii.gz,2d,761.0
train,train_11385_a_1.nii.gz,2d,31835.0
train,train_11828_a_2.nii.gz,2d,16196.0
train,train_10826_a_2.nii.gz,2d,1228.0
train,train_11776_a_2.nii.gz,2d,845.0
train,train_12511_a_2.nii.gz,2d,65.0
train,train_12046_a_2.nii.gz,2d,140.0
train,train_10960_a_1.nii.gz,2d,32.0
train,train_11616_a_1.nii.gz,2d,1665.0
train,train_11094_a_1.nii.gz,2d,2556.0
train,train_10281_a_2.nii.gz,2d,172556.0
train,train_11019_c_2.nii.gz,2d,2013.0
train,train_10307_a_2.nii.gz,2d,41414.0
train,train_10276_b_2.nii.gz,2d,4943.0
train,train_11974_a_1.nii.gz,2d,29927.0
train,train_10083_c_2.nii.gz,2d,435.0
train,train_11829_b_1.nii.gz,2d,1099.0
train,train_10399_a_2.nii.gz,2d,10914.0
train,train_12242_a_2.nii.gz,2d,243.0
train,train_11903_a_2.nii.gz,2d,2077.0
train,train_10165_a_1.nii.gz,2d,205.0
train,train_11427_a_2.nii.gz,2d,685.0
train,train_10641_f_2.nii.gz,2d,720.0
train,train_12753_a_1.nii.gz,2d,411.0
train,train_11008_a_2.nii.gz,2d,3806.0
train,train_11377_a_1.nii.gz,2d,154.0
train,train_10692_a_2.nii.gz,2d,7132.0
train,train_11164_b_2.nii.gz,2d,13223.0
train,train_10819_a_2.nii.gz,2d,457.0
train,train_11023_b_1.nii.gz,2d,59.0
train,train_10981_a_2.nii.gz,2d,500.0
train,train_10259_a_2.nii.gz,2d,236.0
train,train_12315_a_2.nii.gz,2d,118.0
train,train_12051_b_2.nii.gz,2d,647.0
train,train_10696_d_2.nii.gz,2d,7694.0
train,train_12277_a_2.nii.gz,2d,13896.0
train,train_10815_a_1.nii.gz,2d,868.0
train,train_10938_a_1.nii.gz,2d,183.0
train,train_10913_a_2.nii.gz,2d,3425.0
train,train_10760_a_2.nii.gz,2d,56252.0
train,train_10458_a_2.nii.gz,2d,573.0
train,train_10741_a_2.nii.gz,2d,636.0
train,train_11587_a_2.nii.gz,2d,731.0
train,train_12496_a_2.nii.gz,2d,1076.0
train,train_10427_b_2.nii.gz,2d,14747.0
train,train_10198_b_2.nii.gz,2d,10161.0
train,train_12593_a_1.nii.gz,2d,171398.0
train,train_12224_a_1.nii.gz,2d,8446.0
train,train_10664_a_1.nii.gz,2d,1594.0
train,train_11848_a_2.nii.gz,2d,101630.0
train,train_10006_b_2.nii.gz,2d,355.0
train,train_10560_a_2.nii.gz,2d,1137.0
train,train_11105_a_2.nii.gz,2d,2684.0
train,train_12608_a_2.nii.gz,2d,152.0
train,train_12008_a_2.nii.gz,2d,17069.0
train,train_10083_b_2.nii.gz,2d,537.0
train,train_12254_a_1.nii.gz,2d,364.0
train,train_10537_a_1.nii.gz,2d,64685.0
train,train_10094_a_2.nii.gz,2d,798.0
train,train_11398_a_1.nii.gz,2d,194.0
train,train_10634_b_2.nii.gz,2d,2077.0
train,train_13875_b_1.nii.gz,2d,121.0
train,train_13660_b_2.nii.gz,2d,4907.0
train,train_13879_a_1.nii.gz,2d,409.0
train,train_13875_a_2.nii.gz,2d,134.0
train,train_13697_a_2.nii.gz,2d,2384760.0
train,train_13757_a_2.nii.gz,2d,33.0
train,train_115_a_2.nii.gz,2d,316779.0
train,train_279_a_2.nii.gz,2d,194398.0
train,train_80_a_1.nii.gz,2d,7066.0
train,train_225_a_1.nii.gz,2d,31.0
train,train_13301_a_2.nii.gz,2d,101.0
train,train_13119_c_1.nii.gz,2d,118070.0
train,train_13155_a_2.nii.gz,2d,3842.0
train,train_13624_a_2.nii.gz,2d,7635.0
train,train_13426_a_2.nii.gz,2d,173.0
train,train_12994_a_1.nii.gz,2d,566.0
train,train_13166_a_2.nii.gz,2d,2842.0
train,train_13148_a_2.nii.gz,2d,218.0
train,train_13316_a_2.nii.gz,2d,946.0
train,train_13339_a_1.nii.gz,2d,118.0
train,train_1935_a_1.nii.gz,2c,101934.0
train,train_1742_c_2.nii.gz,2d,10915.0
train,train_1959_b_2.nii.gz,2c,245593.0
train,train_1958_a_2.nii.gz,2c,55285.0
train,train_1560_a_2.nii.gz,2c,17911.0
train,train_1968_c_1.nii.gz,2c,578788.0
train,train_1767_a_2.nii.gz,2c,183406.0
train,train_1720_a_2.nii.gz,2d,43269.0
train,train_2371_a_1.nii.gz,2d,9776.0
train,train_1868_a_2.nii.gz,2d,32383.0
train,train_1557_a_2.nii.gz,2d,42109.0
train,train_2006_a_1.nii.gz,2c,21139.0
train,train_2209_a_2.nii.gz,2c,2514.0
train,train_1774_a_1.nii.gz,2d,92352.0
train,train_2028_a_1.nii.gz,2d,39972.0
train,train_1970_a_1.nii.gz,2d,52248.0
train,train_2228_a_2.nii.gz,2c,1519.0
train,train_1794_a_2.nii.gz,2d,202425.0
train,train_1638_a_2.nii.gz,2c,68043.0
train,train_1586_a_2.nii.gz,2c,231885.0
train,train_2127_a_1.nii.gz,2c,925.0
train,train_2272_a_2.nii.gz,2d,3298.0
train,train_1329_b_1.nii.gz,2d,121512.0
train,train_1853_a_2.nii.gz,2d,24500.0
train,train_2241_a_2.nii.gz,2c,635.0
train,train_2752_a_2.nii.gz,2c,1581.0
train,train_2913_b_2.nii.gz,2c,517048.0
train,train_2759_a_1.nii.gz,2c,410.0
train,train_2857_a_1.nii.gz,2c,584374.0
train,train_3196_a_2.nii.gz,2c,112736.0
train,train_5730_a_1.nii.gz,2c,6027.0
train,train_6629_a_1.nii.gz,2c,4590.0
train,train_7237_a_1.nii.gz,2d,6613.0
train,train_5226_a_2.nii.gz,2d,7069.0
train,train_6190_a_1.nii.gz,2d,936.0
train,train_5634_c_2.nii.gz,2d,547.0
train,train_6000_b_1.nii.gz,2c,6879.0
train,train_6884_a_2.nii.gz,2c,6665.0
train,train_7903_a_2.nii.gz,2c,667.0
train,train_7557_a_1.nii.gz,2d,41658.0
train,train_7501_b_2.nii.gz,2d,13062.0
train,train_6899_a_1.nii.gz,2c,4972.0
train,train_6315_a_2.nii.gz,2d,3304.0
train,train_5428_d_2.nii.gz,2d,2432.0
train,train_7025_a_2.nii.gz,2d,1326.0
train,train_6429_a_1.nii.gz,2c,3391.0
train,train_6810_a_2.nii.gz,2d,89.0
train,train_5658_a_1.nii.gz,2d,819.0
train,train_5446_a_1.nii.gz,2d,3674.0
train,train_5377_a_2.nii.gz,2c,1691.0
train,train_7294_a_2.nii.gz,2d,11084.0
train,train_5699_a_2.nii.gz,2c,112928.0
train,train_8188_a_2.nii.gz,2c,139002.0
train,train_6970_b_2.nii.gz,2c,263024.0
train,train_7723_a_1.nii.gz,2c,7323.0
train,train_5529_a_2.nii.gz,2d,126037.0
train,train_5231_a_2.nii.gz,2c,2995.0
train,train_7406_a_2.nii.gz,2c,991.0
train,train_6803_a_2.nii.gz,2d,1016.0
train,train_6890_a_1.nii.gz,2c,629.0
train,train_6000_a_1.nii.gz,2c,1827.0
train,train_7379_a_1.nii.gz,2c,210008.0
train,train_5460_a_2.nii.gz,2c,3637.0
train,train_6905_a_1.nii.gz,2d,52546.0
train,train_7498_a_2.nii.gz,2c,1163.0
train,train_5485_a_2.nii.gz,2c,405.0
train,train_7093_a_2.nii.gz,2c,140.0
train,train_7296_a_2.nii.gz,2c,4979.0
train,train_6590_a_2.nii.gz,2d,25955.0
train,train_7331_a_2.nii.gz,2c,1481.0
train,train_6970_a_2.nii.gz,2c,158045.0
train,train_7145_b_2.nii.gz,2c,4287.0
train,train_7697_a_2.nii.gz,2d,403.0
train,train_12643_a_1.nii.gz,2c,20934.0
train,train_11262_a_1.nii.gz,2c,7010.0
train,train_11068_a_1.nii.gz,2d,37225.0
train,train_10401_a_1.nii.gz,2d,65702.0
train,train_10888_b_2.nii.gz,2c,142.0
train,train_10624_b_1.nii.gz,2d,8752.0
train,train_11245_a_1.nii.gz,2d,95.0
train,train_12821_a_1.nii.gz,2d,14645.0
train,train_11520_a_2.nii.gz,2d,822559.0
train,train_11760_c_2.nii.gz,2c,3063.0
train,train_10577_a_2.nii.gz,2c,23066.0
train,train_11470_a_2.nii.gz,2c,198903.0
train,train_12233_a_1.nii.gz,2c,306478.0
train,train_12050_b_1.nii.gz,2d,128667.0
train,train_11583_a_1.nii.gz,2d,10289.0
train,train_10001_a_1.nii.gz,2d,132668.0
train,train_11834_a_1.nii.gz,2d,136060.0
train,train_10886_a_1.nii.gz,2c,24626.0
train,train_10362_a_1.nii.gz,2c,12538.0
train,train_13703_a_1.nii.gz,2d,706.0
train,train_13748_a_2.nii.gz,2d,2888.0
train,train_122_b_1.nii.gz,2c,1098312.0
train,train_13278_b_2.nii.gz,2c,321.0
train,train_13189_a_1.nii.gz,2d,579594.0
train,valid_49_a_2.nii.gz,2d,308.0
train,valid_1269_a_2.nii.gz,2d,188640.0
train,train_186_a_2.nii.gz,2d,3839563.0
train,train_1102_a_2.nii.gz,2d,433.0
train,valid_794_a_2.nii.gz,2d,1984.0
train,valid_349_a_1.nii.gz,2d,1779719.0
train,valid_1244_a_2.nii.gz,2d,126659.0
train,train_182_b_1.nii.gz,2d,70924.0
train,train_782_a_1.nii.gz,2d,89606.0
train,valid_661_a_1.nii.gz,2d,469116.0
train,train_1008_a_2.nii.gz,2d,277.0
train,valid_651_b_2.nii.gz,2d,1883.0
train,train_244_a_1.nii.gz,2d,70.0
train,train_409_a_2.nii.gz,2d,942.0
train,train_290_a_3.nii.gz,2d,2999363.0
train,train_913_a_1.nii.gz,2d,9329.0
train,valid_1235_b_2.nii.gz,2d,15120.0
train,train_269_a_2.nii.gz,2d,119.0
train,valid_1016_c_1.nii.gz,2d,165161.0
train,train_768_a_2.nii.gz,2d,471.0
train,train_340_a_1.nii.gz,2d,994870.0
train,valid_445_a_2.nii.gz,2d,374.0
train,valid_624_b_2.nii.gz,2d,1102.0
train,train_362_a_1.nii.gz,2d,1583.0
train,train_1123_a_2.nii.gz,2d,6873.0
train,train_512_a_1.nii.gz,2d,680154.0
train,train_327_a_2.nii.gz,2d,693.0
train,train_1049_a_1.nii.gz,2d,6926.0
train,train_784_f_2.nii.gz,2d,32048.0
train,valid_236_a_2.nii.gz,2d,25665.0
train,train_874_a_1.nii.gz,2d,4974.0
train,valid_81_a_2.nii.gz,2d,43642.0
train,train_495_a_1.nii.gz,2d,197483.0
train,train_368_a_1.nii.gz,2d,1591.0
train,valid_132_a_2.nii.gz,2d,11440.0
train,train_679_a_2.nii.gz,2d,27220.0
train,valid_1038_a_1.nii.gz,2d,80057.0
train,train_825_a_2.nii.gz,2d,4131.0
train,train_338_a_2.nii.gz,2d,370.0
train,valid_147_a_2.nii.gz,2d,171.0
train,train_1188_c_2.nii.gz,2d,7241.0
train,train_756_a_2.nii.gz,2d,6585.0
train,valid_839_a_1.nii.gz,2d,21633.0
train,valid_561_a_1.nii.gz,2d,221.0
train,train_860_a_1.nii.gz,2d,103724.0
train,valid_382_c_2.nii.gz,2d,10729.0
train,valid_21_a_2.nii.gz,2d,38817.0
train,train_428_a_2.nii.gz,2d,220199.0
train,valid_987_a_2.nii.gz,2d,265.0
train,train_621_a_1.nii.gz,2d,33555.0
train,train_566_a_2.nii.gz,2d,967.0
train,valid_890_a_2.nii.gz,2d,13873.0
train,valid_464_a_2.nii.gz,2d,3549.0
train,valid_90_c_2.nii.gz,2d,27466.0
train,train_1119_b_2.nii.gz,2d,1628.0
train,valid_851_a_2.nii.gz,2d,1062.0
train,train_1213_a_2.nii.gz,2d,498555.0
train,valid_409_a_2.nii.gz,2d,40336.0
test,train_119_a_2.nii.gz,2d,105069.0
test,valid_97_a_1.nii.gz,2d,1321512.0
test,train_371_a_2.nii.gz,2d,839.0
test,valid_83_a_2.nii.gz,2d,7175.0
test,valid_67_a_1.nii.gz,2d,4743.0
test,valid_269_a_1.nii.gz,2d,4829.0
test,valid_689_a_2.nii.gz,2d,5897.0
test,valid_421_a_2.nii.gz,2d,427.0
test,valid_615_a_2.nii.gz,2d,1242.0
test,train_435_a_2.nii.gz,2d,5974.0
test,valid_676_a_2.nii.gz,2d,1354.0
test,train_739_a_2.nii.gz,2d,359.0
test,valid_516_a_1.nii.gz,2d,480.0
test,valid_557_a_2.nii.gz,2d,184716.0
test,train_703_a_2.nii.gz,2d,214.0
test,train_706_a_1.nii.gz,2d,863633.0
test,train_865_a_1.nii.gz,2d,3701.0
test,valid_927_a_1.nii.gz,2d,1250.0
test,valid_1113_a_2.nii.gz,2d,71.0
test,valid_950_a_2.nii.gz,2d,8184.0
test,train_840_a_1.nii.gz,2d,3896.0
test,train_845_a_1.nii.gz,2d,74054.0
test,train_1157_e_2.nii.gz,2d,27256.0
test,valid_981_a_1.nii.gz,2d,120591.0
test,valid_1196_a_1.nii.gz,2d,288.0
test,valid_915_b_2.nii.gz,2d,165.0
test,train_398_a_1.nii.gz,2d,15455.0
test,train_122_c_1.nii.gz,2c,729636.0
test,train_122_a_1.nii.gz,2d,911000.0
test,valid_260_a_2.nii.gz,2d,2366.0
test,valid_351_a_2.nii.gz,2d,72958.0
test,valid_339_a_1.nii.gz,2d,318284.0
test,valid_276_a_2.nii.gz,2c,148272.0
test,train_317_c_2.nii.gz,2c,44733.0
test,valid_345_a_2.nii.gz,2c,165122.0
test,train_93_c_2.nii.gz,2c,36178.0
test,valid_342_a_2.nii.gz,2d,40667.0
test,valid_187_a_1.nii.gz,2d,63457.0
test,train_81_a_2.nii.gz,2c,10534.0
test,valid_474_a_1.nii.gz,2c,115086.0
test,valid_484_b_1.nii.gz,2c,43296.0
test,valid_495_a_2.nii.gz,2d,25801.0
test,valid_826_a_2.nii.gz,2c,24538.0
test,valid_780_a_1.nii.gz,2c,1032.0
test,train_412_a_2.nii.gz,2d,131389.0
test,valid_534_b_1.nii.gz,2c,3708.0
test,valid_573_a_1.nii.gz,2c,15585.0
test,valid_779_a_2.nii.gz,2c,1586.0
test,train_412_c_2.nii.gz,2d,181417.0
test,train_440_a_2.nii.gz,2c,69154.0
test,train_668_b_2.nii.gz,2c,11584.0
test,valid_542_a_2.nii.gz,2c,63936.0
test,valid_1152_a_1.nii.gz,2d,2243.0
test,valid_935_a_2.nii.gz,2d,184906.0
test,valid_937_a_2.nii.gz,2c,802306.0
test,valid_898_b_2.nii.gz,2c,92365.0
test,train_863_b_2.nii.gz,2d,77137.0
test,valid_902_a_2.nii.gz,2d,313379.0
test,train_1093_a_1.nii.gz,2d,3142.0
test,train_962_a_1.nii.gz,2d,18703.0
test,valid_1078_a_2.nii.gz,2c,144424.0
test,train_1019_a_1.nii.gz,2c,845.0
test,train_894_a_1.nii.gz,2d,26173.0
test,train_994_c_1.nii.gz,2d,6007.0
test,train_863_a_2.nii.gz,2d,181898.0
test,valid_1016_e_1.nii.gz,2d,138707.0
test,train_1110_a_2.nii.gz,2d,11835.0
test,valid_1015_a_2.nii.gz,2d,600809.0
